Hero_id,Hero_name,Affiliation,degree_centrality,closeness_centrality,betweenness_centrality,y,Ant-Man,Ant-Man and the Wasp,Ant-Man and the Wasp: Quantumania,Avengers: Age of Ultron,Avengers: Endgame,Avengers: Infinity War,Black Panther,Black Panther: Wakanda Forever,Black Widow,Captain America: Civil War,Captain America: The First Avenger,Captain America: The Winter Soldier,Captain Marvel,Doctor Strange,Doctor Strange in the Multiverse of Madness,Eternals,Guardians of the Galaxy,Guardians of the Galaxy Vol. 2,Iron Man,Iron Man 2,Iron Man 3,Marvel’s The Avengers,Shang-Chi and the Legend of the Ten Rings,Spider-Man: Far From Home,Spider-Man: Homecoming,Spider-Man: No Way Home,The Incredible Hulk,Thor,Thor: Love and Thunder,Thor: Ragnarok,Thor: The Dark World
0,Aaron Davis,Unnafiliated,-0.17069327496684633,-0.3780868326473046,-0.38189727396953366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,Abomination,Unnafiliated,-0.4998009773598644,-0.3516387907043809,-0.28422079490580876,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,Abraham,Unnafiliated,-0.17069327496684633,-0.3780868326473046,-0.38189727396953366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3,Abraham Erskine,Unnafiliated,-0.7092331516099668,-0.4297234859644425,-0.38189727396953366,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Agent 13,Unnafiliated,-0.5895576234670511,-0.29283293744645833,-0.38189727396953366,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ajak,Unnafiliated,-0.7092331516099668,3.747807710448874,-0.38189727396953366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Akihiko,Unnafiliated,0.7268731861050209,0.45717092438801804,-0.38189727396953366,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Aldrich Killian,A.I.M.,-0.7092331516099668,-0.5401190896079785,-0.38189727396953366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Aleta Ogord,Unnafiliated,-0.3502065671812199,-0.7291417778609389,-0.38189727396953366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alexander Pierce,Unnafiliated,0.996143124426581,0.5202846503642362,-0.20260713464720928,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,America Chavez,Unnafiliated,-0.5297198593955933,-0.4879320769764891,-0.38189727396953366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Ancient One,Unnafiliated,1.02606200646231,0.5274177786150799,0.41253822740096013,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Aneka,Unnafiliated,-0.6793142695742378,-0.842816712501545,-0.38189727396953366,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Annie Marie Hoag,Unnafiliated,-0.17069327496684633,-0.3780868326473046,-0.38189727396953366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,Ant-Man,Avengers,1.8637907034627197,0.7376004240424765,2.2028110652365416,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Anton Vanko,Unnafiliated,-0.7690709156814246,-0.38680830492338975,-0.38189727396953366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,Arishem,Unnafiliated,-0.7092331516099668,3.747807710448874,-0.38189727396953366,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Arnim Zola,Unnafiliated,-0.2305310390383042,-0.23664730399601464,-0.3029625603845326,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Att-Lass,Starforce,-0.6493953875385089,-0.24140157386664593,-0.38189727396953366,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Attuma,Unnafiliated,-0.6793142695742378,-0.842816712501545,-0.38189727396953366,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
